06573678+0316415 5887 66 3.98 0.18 -0.17 0.06 2.74 0.11 0.295 Br30
06573840+0317365 6532 83 4.28 0.22 -0.27 0.08 2.32 0.00 0.295 Br30
06574063+0316018 6737 84 4.33 0.22 -0.07 0.08 3.06 0.20 0.295 Br30
06574145+0315351 6848 109 4.17 0.24 -0.06 0.09 2.97 0.16 0.295 Br30
06574224+0313113 6144 64 3.96 0.17 -0.62 0.05 2.82 0.08 0.295 Br30
06574258+0313501 6431 63 4.03 0.17 -0.24 0.05 2.84 0.11 0.295 Br30
06574326+0316414 6703 66 4.24 0.17 -0.09 0.06 3.15 0.15 0.295 Br30
06574331+0308288 6409 65 3.90 0.17 -0.22 0.05 3.09 0.14 0.295 Br30
06574450+0313062 6631 83 4.22 0.22 -0.36 0.08 3.16 0.26 0.295 Br30
06574592+0310451 5635 62 4.02 0.17 0.03 0.05 3.28 0.13 0.295 Br30
06574621+0314134 6629 65 4.04 0.17 0.02 0.05 2.78 0.20 0.295 Br30
06574644+0313027 6078 65 4.26 0.18 -0.25 0.05 3.05 0.10 0.295 Br30
06574702+0310486 6401 81 4.18 0.22 -0.65 0.08 3.01 0.18 0.295 Br30
06574716+0308206 6698 83 4.12 0.22 -0.23 0.08 2.99 0.00 0.295 Br30
06574898+0307091 5761 84 3.55 0.22 -0.63 0.08 2.49 0.16 0.295 Br30
06574989+0309394 6612 80 4.36 0.22 -0.11 0.08 2.95 0.00 0.295 Br30
06575000+0313551 5941 80 3.99 0.22 -0.10 0.08 2.87 0.15 0.295 Br30
06575177+0314522 6266 83 4.61 0.22 0.02 0.07 2.65 0.00 0.295 Br30
06575227+0307353 6180 65 4.59 0.18 -0.18 0.05 2.79 0.11 0.295 Br30
06575388+0311386 6338 82 4.11 0.33 -0.15 0.10 2.65 0.26 0.295 Br30
06575441+0317598 5552 104 4.42 0.34 -0.46 0.09 2.14 0.21 0.295 Br30
06575462+0317210 6569 64 4.07 0.17 -0.32 0.05 2.49 0.00 0.295 Br30
06575489+0314159 6983 71 4.03 0.21 -0.40 0.06 2.99 0.16 0.295 Br30
